"","Temperature...C.","Conductivity..S.m.","Fluorescence..mg.m..","Salinity","Density..kg.m..","Chlorophyll..mg.m..","Phaeopigment..mg.m..","Phosphate..µmol.L.","Silicate..µmol.L.","Nitrite.and.Nitrate..µmol.L.","Primary.Prod...mg.m..day.","Alveolata.Dinoflagellata","Archaeplastida.Chlorophyta.and.otherArchaeplastida","Excavata.Discoba.Jakobida","Haptophyta.non_Phaeocystis","Haptophyta.Phaeocystis","Picozoa.Picomonadida","Rhizaria.Cercozoa","Stramenopiles.Diatomea.ME-Euk-FW10","Stramenopiles.Dictyochophyceae.Dictyochales.and.Florenciellales.and.otherDictyochophyceae","Stramenopiles.Dictyochophyceae.Pedinellales","Stramenopiles.MAST-2.and.MAST-3","Stramenopiles.Ochrophyta.other","Stramenopiles.Phaeophyceae","Eukaryota;other","Cryptophyceae.Geminigera.and.otherCryptophyceae","Stramenopiles.Diatomea.Bacillariophytina.and.Coscinodiscophytina.and.otherDiatomea","SAR_unclassified.and.otherStramenopiles.and.otherAlveolata"
"Temperature...C.","1","0.91","","","","","","","","","","","","","","","0.72","","-0.83","","-0.66","","","","","","",""
"Conductivity..S.m.","0.91","1","","","","","","","","","","","","","","","0.65","","-0.66","","","","","","","","",""
"Fluorescence..mg.m..","","","1","","","0.72","","","","","","","","","","","","","","","","","","","","","",""
"Salinity","","","","1","0.99","","","","","","","","","","","","","","","","0.65","","","","","","",""
"Density..kg.m..","","","","0.99","1","","","","","","","","","","","","","","0.68","","0.68","","","","","","",""
"Chlorophyll..mg.m..","","","0.72","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Phaeopigment..mg.m..","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Phosphate..µmol.L.","","","","","","","","1","","0.85","","","0.74","","","","","","","","","","","","","","",""
"Silicate..µmol.L.","","","","","","","","","1","0.65","","","","","","","","","","","","","","","","","",""
"Nitrite.and.Nitrate..µmol.L.","","","","","","","","0.85","0.65","1","","","","","","","","","","","","","","","","","",""
"Primary.Prod...mg.m..day.","","","","","","","","","","","1","","","","","","","0.73","","","","","","","","","",""
"Alveolata.Dinoflagellata","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
"Archaeplastida.Chlorophyta.and.otherArchaeplastida","","","","","","","","0.74","","","","","1","","","","","","","","0.79","","","","","","",""
"Excavata.Discoba.Jakobida","","","","","","","","","","","","","","1","0.68","","","","","","","","","","0.79","","",""
"Haptophyta.non_Phaeocystis","","","","","","","","","","","","","","0.68","1","","","","","","","","","","0.8","","",""
"Haptophyta.Phaeocystis","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
"Picozoa.Picomonadida","0.72","0.65","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Rhizaria.Cercozoa","","","","","","","","","","","0.73","","","","","","","1","","","","","-0.67","","","","",""
"Stramenopiles.Diatomea.ME-Euk-FW10","-0.83","-0.66","","","0.68","","","","","","","","","","","","","","1","","0.7","","","","","","",""
"Stramenopiles.Dictyochophyceae.Dictyochales.and.Florenciellales.and.otherDictyochophyceae","","","","","","","","","","","","","","","","","","","","1","","0.78","","","","","",""
"Stramenopiles.Dictyochophyceae.Pedinellales","-0.66","","","0.65","0.68","","","","","","","","0.79","","","","","","0.7","","1","","","","","","",""
"Stramenopiles.MAST-2.and.MAST-3","","","","","","","","","","","","","","","","","","","","0.78","","1","","","","","",""
"Stramenopiles.Ochrophyta.other","","","","","","","","","","","","","","","","","","-0.67","","","","","1","","","","",""
"Stramenopiles.Phaeophyceae","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Eukaryota;other","","","","","","","","","","","","","","0.79","0.8","","","","","","","","","","1","","",""
"Cryptophyceae.Geminigera.and.otherCryptophyceae","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
"Stramenopiles.Diatomea.Bacillariophytina.and.Coscinodiscophytina.and.otherDiatomea","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"SAR_unclassified.and.otherStramenopiles.and.otherAlveolata","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
