"","Temperature...C.","Conductivity..S.m.","Pressure..dbar.","Fluorescence..mg.m³.","Salinity","Depth..m.","Density..kg.m³.","Chlorophyll..mg.m³.","Phaeopigment..mg.m³.","Phosphate..µmol.L.","Silicate..µmol.L.","Nitrite.and.Nitrate..µmol.L.","Primary.Prod...mg.m³.day.","Prim.Prod.STD..mg.m³.day.","Alveolata.Dinoflagellata","Alveolata.otherAlveolata","Archaeplastida.Chlorophyta.and.otherArchaeplastida","Cryptophyceae.Cryptomonadales.Geminigera","Cryptophyceae.otherCryptophyceae","Excavata.Discoba.Jakobida","Haptophyta.non_Phaeocystis","Haptophyta.Phaeocystis","Picozoa.Picomonadida","Rhizaria.Cercozoa","Stramenopiles.Diatomea.Bacillariophytina","Stramenopiles.Diatomea.Coscinodiscophytina","Stramenopiles.Diatomea.ME-Euk-FW10","Stramenopiles.Diatomea.otherDiatomea","Stramenopiles.Dictyochophyceae.Dictyochales.and.Florenciellales.and.otherDictyochophyceae","Stramenopiles.Dictyochophyceae.Pedinellales","Stramenopiles.MAST-2.and.MAST-3","Stramenopiles.Ochrophyta.other","Stramenopiles.otherStramenopiles","Stramenopiles.Phaeophyceae","SAR_unclassified","Eukaryota;other"
"Temperature...C.","1","0.91","","","","","","","","","","","","","","","","","","","","","0.72","","","","-0.83","","","-0.66","","","","","",""
"Conductivity..S.m.","0.91","1","","","","","","","","","","","","","","","","","","","","","0.65","","","","-0.66","","","","","","","","",""
"Pressure..dbar.","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fluorescence..mg.m³.","","","","1","","","","0.72","","","","","","0.65","","","","","","","","","","","","","","","","","","","","","",""
"Salinity","","","","","1","","0.99","","","","","","","","","","","","","","","","","","","","","","","0.65","","","","","",""
"Depth..m.","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Density..kg.m³.","","","","","0.99","","1","","","","","","","","","","","","","","","","","","","","0.68","","","0.68","","","","","",""
"Chlorophyll..mg.m³.","","","","0.72","","","","1","","","","","","0.92","","","","","","","","","","","","","","","","","","","","","",""
"Phaeopigment..mg.m³.","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phosphate..µmol.L.","","","","","","","","","","1","","0.85","","","","","0.74","","","","","","","","","","","","","","","","","","",""
"Silicate..µmol.L.","","","","","","","","","","","1","0.65","","","","-0.67","","","","","","","","","","","","","","","","","","","",""
"Nitrite.and.Nitrate..µmol.L.","","","","","","","","","","0.85","0.65","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Primary.Prod...mg.m³.day.","","","","","","","","","","","","","1","","","","","","","","","","","0.73","","","","","","","","","","","",""
"Prim.Prod.STD..mg.m³.day.","","","","0.65","","","","0.92","","","","","","1","","","","","","","","","","0.7","","","","","","","","","","","",""
"Alveolata.Dinoflagellata","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Alveolata.otherAlveolata","","","","","","","","","","","-0.67","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Archaeplastida.Chlorophyta.and.otherArchaeplastida","","","","","","","","","","0.74","","","","","","","1","","","","","","","","","","","","","0.79","","","","","",""
"Cryptophyceae.Cryptomonadales.Geminigera","","","","","","","","","","","","","","","","","","1","","","","","0.67","","","","","","","","","","-0.65","","",""
"Cryptophyceae.otherCryptophyceae","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","0.66","","0.81","","","","",""
"Excavata.Discoba.Jakobida","","","","","","","","","","","","","","","","","","","","1","0.68","","","","","","","","","","","","","","","0.79"
"Haptophyta.non_Phaeocystis","","","","","","","","","","","","","","","","","","","","0.68","1","","","","","","","","","","","","","","","0.8"
"Haptophyta.Phaeocystis","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Picozoa.Picomonadida","0.72","0.65","","","","","","","","","","","","","","","","0.67","","","","","1","","","","","","","","","","","","",""
"Rhizaria.Cercozoa","","","","","","","","","","","","","0.73","0.7","","","","","","","","","","1","","","","","","","","-0.67","","","",""
"Stramenopiles.Diatomea.Bacillariophytina","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","0.73","",""
"Stramenopiles.Diatomea.Coscinodiscophytina","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Stramenopiles.Diatomea.ME-Euk-FW10","-0.83","-0.66","","","","","0.68","","","","","","","","","","","","","","","","","","","","1","","","0.7","","","","","",""
"Stramenopiles.Diatomea.otherDiatomea","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"Stramenopiles.Dictyochophyceae.Dictyochales.and.Florenciellales.and.otherDictyochophyceae","","","","","","","","","","","","","","","","","","","0.66","","","","","","","","","","1","","0.78","","","","",""
"Stramenopiles.Dictyochophyceae.Pedinellales","-0.66","","","","0.65","","0.68","","","","","","","","","","0.79","","","","","","","","","","0.7","","","1","","","","","",""
"Stramenopiles.MAST-2.and.MAST-3","","","","","","","","","","","","","","","","","","","0.81","","","","","","","","","","0.78","","1","","","","",""
"Stramenopiles.Ochrophyta.other","","","","","","","","","","","","","","","","","","","","","","","","-0.67","","","","","","","","1","","","",""
"Stramenopiles.otherStramenopiles","","","","","","","","","","","","","","","","","","-0.65","","","","","","","","","","","","","","","1","","",""
"Stramenopiles.Phaeophyceae","","","","","","","","","","","","","","","","","","","","","","","","","0.73","","","","","","","","","1","",""
"SAR_unclassified","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"Eukaryota;other","","","","","","","","","","","","","","","","","","","","0.79","0.8","","","","","","","","","","","","","","","1"
