"","Temperature...C.","Conductivity..S.m.","Pressure..dbar.","Fluorescence..mg.m³.","Salinity","Depth..m.","Density..kg.m³.","Chlorophyll..mg.m³.","Phaeopigment..mg.m³.","Phosphate..µmol.L.","Silicate..µmol.L.","Nitrite.and.Nitrate..µmol.L.","Primary.Prod...mg.m³.day.","Prim.Prod.STD..mg.m³.day.","Alveolata.Dinoflagellata","Alveolata.otherAlveolata","Archaeplastida.Chlorophyta","Archaeplastida.otherArchaeplastida","Cryptophyceae.Cryptomonadales.Geminigera","Cryptophyceae.otherCryptophyceae","Excavata.Discoba.Jakobida","Haptophyta.Phaeocystis","Picozoa.otherPicozoa","Rhizaria.Cercozoa","Rhizaria.otherRhizaria","SAR_unclassified","Stramenopiles.Diatomea.Bacillariophytina","Stramenopiles.Diatomea.Coscinodiscophytina","Stramenopiles.Diatomea.otherDiatomea","Stramenopiles.Dictyochophyceae.Dictyochales","Stramenopiles.Dictyochophyceae.Florenciellales","Stramenopiles.Dictyochophyceae.otherDictyochophyceae","Stramenopiles.Dictyochophyceae.Pedinellales","Stramenopiles.Ochrophyta.other","Stramenopiles.otherStramenopiles","Stramenopiles.Phaeophyceae","Stramenopiles.Diatomea.ME_Euk_FW10","Stramenopiles.MAST_2","Stramenopiles.MAST_3","Picozoa.Picomonadida"
"Temperature...C.","1","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Conductivity..S.m.","0.9","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pressure..dbar.","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fluorescence..mg.m³.","","","","1","","","","0.92","","-0.74","","","","0.69","","","","","","","","","","","","","0.74","0.84","","","","","","","","","","","",""
"Salinity","","","","","1","","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Depth..m.","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Density..kg.m³.","","","","","0.99","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chlorophyll..mg.m³.","","","","0.92","","","","1","","-0.79","","","","0.79","","","","","","","","","","","","","0.85","0.93","","","","","","","-0.68","","","","",""
"Phaeopigment..mg.m³.","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phosphate..µmol.L.","","","","-0.74","","","","-0.79","","1","","0.79","","","","","","","","","","","","","","","","-0.65","","","","","","","","","","","",""
"Silicate..µmol.L.","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nitrite.and.Nitrate..µmol.L.","","","","","","","","","","0.79","","1","","-0.66","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Primary.Prod...mg.m³.day.","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prim.Prod.STD..mg.m³.day.","","","","0.69","","","","0.79","","","","-0.66","","1","","","","","","","","","","","","","0.75","0.88","","","","","","","-0.7","","","","",""
"Alveolata.Dinoflagellata","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolata.otherAlveolata","","","","","","","","","","","","","","","","1","","","","","","","","","","","","-0.65","","","","","","","","","","","",""
"Archaeplastida.Chlorophyta","","","","","","","","","","","","","","","","","1","0.71","","","","","0.8","","0.84","","","","","","","","","","","","","","",""
"Archaeplastida.otherArchaeplastida","","","","","","","","","","","","","","","","","0.71","1","","","","","0.87","","0.86","","0.71","","-0.77","","","","","","","","","","",""
"Cryptophyceae.Cryptomonadales.Geminigera","","","","","","","","","","","","","","","","","","","1","","","","","0.84","","","","","","","","","","","","","","","","0.82"
"Cryptophyceae.otherCryptophyceae","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Excavata.Discoba.Jakobida","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Haptophyta.Phaeocystis","","","","","","","","","","","","","","","","","","","","","","1","","0.69","","","","","","","","","","","","","","","",""
"Picozoa.otherPicozoa","","","","","","","","","","","","","","","","","0.8","0.87","","","","","1","","0.95","","","","","","","","","","","","","","",""
"Rhizaria.Cercozoa","","","","","","","","","","","","","","","","","","","0.84","","","0.69","","1","","","","","","","","","","","","","","","","0.76"
"Rhizaria.otherRhizaria","","","","","","","","","","","","","","","","","0.84","0.86","","","","","0.95","","1","","","","","","","","","","","","","","",""
"SAR_unclassified","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","0.79","0.76","","","","","","","","","",""
"Stramenopiles.Diatomea.Bacillariophytina","","","","0.74","","","","0.85","","","","","","0.75","","","","0.71","","","","","","","","","1","0.94","-0.67","","","","","","-0.68","","","","",""
"Stramenopiles.Diatomea.Coscinodiscophytina","","","","0.84","","","","0.93","","-0.65","","","","0.88","","-0.65","","","","","","","","","","","0.94","1","","","","","","","-0.7","","","","",""
"Stramenopiles.Diatomea.otherDiatomea","","","","","","","","","","","","","","","","","","-0.77","","","","","","","","0.79","-0.67","","1","","","","","","","","","","",""
"Stramenopiles.Dictyochophyceae.Dictyochales","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","","1","","","","","","","","","",""
"Stramenopiles.Dictyochophyceae.Florenciellales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0.87",""
"Stramenopiles.Dictyochophyceae.otherDictyochophyceae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"Stramenopiles.Dictyochophyceae.Pedinellales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","0.88","","",""
"Stramenopiles.Ochrophyta.other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.69","","","","",""
"Stramenopiles.otherStramenopiles","","","","","","","","-0.68","","","","","","-0.7","","","","","","","","","","","","","-0.68","-0.7","","","","","","0.69","1","0.68","","","",""
"Stramenopiles.Phaeophyceae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","1","","","",""
"Stramenopiles.Diatomea.ME_Euk_FW10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.88","","","","1","","",""
"Stramenopiles.MAST_2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
"Stramenopiles.MAST_3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.87","","","","","","","","1",""
"Picozoa.Picomonadida","","","","","","","","","","","","","","","","","","","0.82","","","","","0.76","","","","","","","","","","","","","","","","1"
