"","Taxa","2012-11-27","2012-11-30.metagenome","2012-12-10.metagenome","2012-12-17.metagenome","2013-02-08","2013-02-15.metagenome","2013-12-27","2014-01-23","2014-02-03","2014-02-10","2014-02-28","2014-03-04","2014-12-01","2014-12-11","2015-01-12","2015-01-19","2015-02-09","2015-02-23","2015-03-09"
"1","Archaeplastida.Chlorophyta",891,88,80,2859,1114,2341,35940,1453,201,447,649,1017,8707,4527,2537,1466,5368,2808,935
"2","Archaeplastida.otherArchaeplastida",446,626,322,3879,2259,3678,442,204,104,1022,730,923,1391,956,584,2613,1362,1182,906
"3","Cryptophyceae.Cryptomonadales.Geminigera",14417,0,1,6,126285,2,17985,246143,183723,95548,20128,81766,7289,5540,139165,45369,55168,14948,1027
"4","Cryptophyceae.otherCryptophyceae",4678,30,97,10766,33843,8611,5465,47519,40633,20233,22225,21180,2384,1537,35587,204386,13750,4687,480
"5","Excavata.Discoba.Jakobida",12885,0,2,58,35788,38,2026,5316,7343,9692,10245,19158,2174,4288,16691,4920,10792,2900,1831
"6","Haptophyta.Phaeocystis",19871,48,53,959,29885,529,41835,59145,41028,33470,13921,38527,16007,21663,4774,2319,17473,21528,15675
"7","Haptophyta.non-Phaeocystis",2511,57,126,6099,83712,18773,2222,3150,4062,9296,5208,18347,7644,3504,20411,12889,16591,8646,10861
"8","Picozoa.otherPicozoa",0,0,1,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Picozoa.Picomonadida",2316,0,0,0,26799,0,884,10224,18616,4735,503,2970,908,1316,4376,2307,1173,1354,3254
"10","Alveolata.Dinoflagellata",25511,197,142,2443,26050,3379,27860,44182,8535,14451,7969,20368,0,27828,12761,6140,19841,11461,37888
"11","Alveolata.otherAlveolata",46476,121,82,4548,98840,3596,17296,58470,53758,49684,18123,39582,83822,23782,57335,36546,32148,35173,27868
"12","Rhizaria.Cercozoa",17581,6,3,293,86,153,5075,11302,9280,7495,2601,2148,640,1903,3979,1240,315,105,63
"13","Rhizaria.otherRhizaria",0,2,5,191,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","SAR_unclassified",15867,0,0,0,13918,0,11894,22934,10322,13163,41804,14082,5454,14617,4410,2086,8448,5541,9902
"15","Stramenopiles.MAST-2",1102,0,0,0,582,0,2307,725,3653,903,414,301,4980,2031,6228,6499,760,2236,17689
"16","Stramenopiles.MAST-3",3630,0,0,0,57953,0,2363,12724,9773,24449,24539,26015,12207,9282,57780,82260,8312,2392,2113
"17","Stramenopiles.Diatomea.Bacillariophytina",5665,3636,1643,5077,835,3745,5892,880,611,1920,5996,3037,382,860,218,537,4576,12436,1620
"18","Stramenopiles.Diatomea.Coscinodiscophytina",38,8985,3178,1760,1143,1860,137,42,10,118,266,37,37,340,22,480,86,46,34
"19","Stramenopiles.Diatomea.otherDiatomea",245733,15,4,5,33117,6,213157,78614,166603,218185,329366,158865,114900,111177,62657,93661,155117,146397,164216
"20","Stramenopiles.Diatomea.ME-Euk-FW10",293082,0,0,0,137,0,115885,14315,310,297,1541,516,141122,153847,446,413,76,57,86
"21","Stramenopiles.Dictyochophyceae.Dictyochales",4,1,0,1,0,2,13,17,8,25,606,317,10,3,10,1,30,13,20
"22","Stramenopiles.Dictyochophyceae.otherDictyochophyceae",0,0,1,1,11,4,1,0,1,0,0,2,3,3,4,0,0,0,0
"23","Stramenopiles.Dictyochophyceae.Florenciellales",138,12,2,8,1420,10,2712,956,767,1066,445,1298,1177,821,3165,3431,269,170,246
"24","Stramenopiles.Dictyochophyceae.Pedinellales",29036,0,0,5,8844,2,127704,3411,2891,6208,2539,8208,97357,57691,22278,13239,2363,4059,2401
"25","Stramenopiles.Ochrophyta.other",3089,42,36,1036,34766,742,747,0,1709,8158,5992,14480,1812,6473,2723,14325,10538,10711,17206
"26","Stramenopiles.Phaeophyceae",35654,212,123,2562,9273,1743,60371,9402,10970,16401,46860,28893,11992,36646,15521,13327,101878,70114,42129
"27","Stramenopiles.otherStramenopiles",210992,129,120,7762,190353,3806,119738,53493,50894,53785,60885,114829,88859,72261,60564,67180,97474,103126,112434
